AQW00061705         541C   497C   552C   522C   519C   479C   473C   474C   480C   507C   508C   538C
USC00261590           0Q     0Q -7777Q -7777Q    18Q   101Q   267Q   214Q    38Q     1Q     0Q     0Q
USC00261660           0Q     0Q     0Q     0Q     0Q -7777Q    14Q     9Q -7777Q     0Q     0Q     0Q
USC00261684           0Q     0Q     0Q -7777Q    11Q    79Q   240Q   203Q    40Q -7777Q     0Q     0Q
USC00261740           0R     0R     0R -7777R     1R    24R   125R    91R    11R -7777R     0R     0R
USC00261905           0R     0R     0R -7777R     4R    38R   147R   129R    15R -7777R     0R     0R
USC00262119           0R     0R     0R     0R -7777R     2R    24R    14R     1R     0R     0R     0R
USC00262189           0R     0R     0R -7777R     1R    12R    70R    40R     2R     0R     0R     0R
USC00262229           0S     0S     0S     1S    14S    73S   236S   194S    40S     2S     0S     0S
USC00262243           0S -7777S     4S    43S   219S   450S   651S   595S   339S    64S     1S     0S
USC00262296           0R     0R     0R     0R     1R    17R    98R    70R     4R -7777R     0R     0R
USC00262390           0R     0R     0R -7777R    10R    87R   232R   170R    32R -7777R     0R     0R
USC00262394           0R     0R     0R -7777R     5R    45R   182R   114R     8R -7777R     0R     0R
USC00262431           0S     0S     0S     1S    21S   132R   276R   211R    47R     1S     0S     0S
USC00262497           0R -7777R    23R   142R   416R   692R   919R   859R   578R   210R     9R -7777R
USC00262557           0R -7777R     1R    12R    95R   277R   485R   433R   210R    32R -7777R     0R
USC00262570           0R     0R     0R -7777R     5R    41R   195R   151R    20R -7777R     0R     0R
USC00262656           0R     0R     0R -7777R     6R    66R   250R   215R    56R     3R     0R     0R
USC00262708           0C     0S     0S -7777C     3S    33S   147S   115S    18S -7777C     0C     0S
USC00262780           0S     0S -7777S     1S    29S   126S   301S   234R    59S     3S     0S     0S
USC00263090           0R     0R -7777R     3R    50R   162R   369R   312R   102R     6R     0R     0R
USC00263114           0S     0S     0S     0S     1S    17S   108R    75S     9S -7777S     0S     0S
USC00263205           0C     0C     0C     0S -7777S     5S    36S    35S     5S     0C     0S     0S
USC00263245           0R     0R     0R     1R    12R    87S   249R   190R    38R     1R     0R     0R
USC00263285           0R     0S -7777R     1R    26S   131R   319R   266R    79R     3R -7777R     0R
USC00263316           0Q     0Q     3Q    28Q   217Q   446Q   643Q   577Q   331Q    62Q     1Q     0Q
USC00263340           0R     0R     0R -7777R     7R    67R   210R   151R    25R -7777R     0R     0R
USC00263512           0R     0R -7777R     4R    64R   214R   411R   365R   136R    13R -7777R     0R
USC00263671           0R     0R -7777R     5R    71R   229R   425R   374R   154R    18R -7777R     0R
USC00263957           0S     0S     0S     1S    26S   122S   310S   232S    60S     2S     0S     0S
USC00263964           0Q     0Q     0Q     0Q -7777Q    28Q   131Q    96Q    12Q -7777Q     0Q     0Q
USC00264016           0R     0R     0R -7777R     1R    23R   113R    81R     9R -7777R     0R     0R
USC00264039           0R     0R     0R     0R     2R    10R    80R    77R    10R -7777R     0R     0R
USC00264095           0S     0S     0R     0R     1R    18S    96S    67S     5R -7777R     0R     0S
USC00264236           0S     0S     0S -7777R    16R    71R   228R   176R    35R     1S     0S     0R
USC00264253           0Q     0Q     0Q     1Q    19Q   101Q   263Q   227Q    46Q     5Q     0Q     0Q
USC00264341           0R     0R     0R -7777R     4R    54R   195R   158R    21R -7777R     0R     0R
USC00264349           0R     0R -7777R     6S    69R   223R   455R   400R   160R    23R -7777R     0R
USC00264384           0R     0R     0R -7777R     8R    83R   211R   152R    37R     1R     0R     0R
USC00264391           0Q     0Q     0Q     0Q -7777Q     4Q    52Q    29Q     2Q     0Q     0Q     0Q
USC00264394           0R     0R     0R -7777R     1R    18R   108R    85R    12R -7777R     0R     0R
USC00264439           0R -7777R    14R    86R   329R   604R   800R   742R   464R   135R     5R     0R
USC00264480           1R     7R    62R   204R   485R   732R   941R   894R   656R   295R    40R -7777R
USC00264491           0Q     0Q     0Q     0Q     1Q    31Q   127Q    86Q     8Q -7777Q     0Q     0Q
USC00264527           0S     0S -7777S     1S    24S   101S   280S   219S    63S     3S     0S     0S
USC00264698           0S     0S     0S     1S    25S   114S   279S   216S    52S     1S     0S     0S
USC00264745           0S     0S     0S     0S     2S    29S   116S    80S     8S -7777S     0S     0S
USC00264935           0S     0C     0C -7777S     6S    37S   157S   105S    14S -7777S     0S     0S
USC00264950           0S     0S     0S -7777S     5S    64S   195S   160S    27S -7777S     0S     0S
USC00265087           0Q -7777Q    17Q   106Q   366Q   636Q   854Q   786Q   516Q   172Q     9Q     0Q
USC00265092           0R     0R     0R     2R     9R    64R   230R   198R    48R     2R     0R     0R
USC00265132           0R     0R     0R -7777R     7R    48R   177R   141R    21R -7777R     0R     0R
USC00265168           0S     0S -7777S     5S    67S   235S   445S   373R   137S     9S     0S     0S
USC00265191           0R     0R     0R -7777S     7S    48S   160S   119S    27S     1S     0S     0S
USC00265352           0S     0S     0R -7777S     4S    51S   192S   138S    15S -7777S     0R     0S
USC00265371           0Q     0Q     0Q     0Q     1Q     8Q    83Q    67Q     4Q     0Q     0Q     0Q
USC00265392           0R     0R     0R -7777R -7777R     3R    26R    19R     1R     0R     0R     0R
USC00265400           0R     0R     0R -7777R     1R     9R    48R    40R     4R -7777R     0R     0R
USC00265705           0R -7777R    25R   108R   369R   605R   818R   764R   501R   175R    11R     0R
USC00265722           0R     0R     0R     0R     1R    25R   120R    70R     4R -7777R     0R     0R
USC00265818           0S     0S     0S -7777S     9S    59S   201S   150C    27S -7777S     0S     0S
USC00265846           0R     1R    26R   133R   395R   633R   849R   803R   521R   182R     9R     0R
USC00265880           0R -7777R     1R    13R   115S   337R   528R   479R   239R    31R -7777R     0R
USC00265890           0S -7777S     3S    39S   195S   415S   628S   570S   331S    69S     1S     0S
USC00266005           0S     0C     0S -7777S     7S    44S   168S   141S    26S -7777S     0S     0S
USC00266055           0R     0R     0R     2R    21R   128R   336R   315R    96R     4R     0R     0R
USC00266130           0R     0R     0R     0R     9R    86R   201R   155R    28R -7777R     0R     0R
USC00266242           0R     0R     0R     0R     1R    13R    98R    59R     4R -7777R     0R     0R
USC00266252           0R     0S     0R     1R    20R   113R   289R   228R    68R     3R     0R     0R
USC00266514           0Q     0Q     0Q -7777Q    19Q   131Q   294Q   251Q    61Q     1Q     0Q     0Q
USC00266691           0S -7777S     1S    25S   147S   377S   575S   515S   263S    41S     1S     0S
USC00266746           0S     0S     0S     0S -7777S     5S    34S    17S     1S -7777S     0S     0S
USC00266791           0R     0R -7777R     1R    33R   124R   344R   273R    90R     8R -7777R     0R
USC00267123           0S     0S     0S -7777S     3S    43C   154C   103S    12S -7777S     0S     0S
USC00267175           0R     0R     0R     0R -7777R    10R    68R    45R     2R     0R     0R     0R
USC00267188           0Q     0Q     0Q     0Q     2Q    19Q   131Q   101Q     9Q -7777Q     0Q     0Q
USC00267192           0S     0S -7777S     1S    18S    93S   260S   195S    42S     1S     0S     0S
USC00267369           0S -7777S     6S    44S   190S   418S   600S   552S   341S    96S     5S     0S
USC00267450           0R     0R     0R -7777R     3R    48R   171R   112R    12R -7777R     0R     0R
USC00267463           0S     0S -7777S     8S    90S   268S   462S   384S   140S     8S     0S     0S
USC00267612           0S     0C     0C -7777S    11C    73S   220S   171S    33S     1S     0S     0C
USC00267618           0R     0R     0R     1R    33R   125R   319R   234R    66R     2R     0R     0R
USC00267620           0S     0S     0S -7777S    10S    90S   239S   181S    39S     1S     0S     0S
USC00267640           0R     0R     0R     0R -7777R     9R    59R    33R     1R -7777R     0R     0R
USC00267690           0R     0R     0R     0R     2R    23R   134R   100R    10R -7777R     0R     0R
USC00267697           0R     0R     0R -7777R    18R    86R   235R   183R    41R     2R     0R     0R
USC00267750           0R     0R     0S     0S -7777S    11R    67R    36S     3R -7777S     0R     0R
USC00267806           0R     0R     0R     0R -7777R     7R    38R    26R     3R     0R     0R     0R
USC00267820           0R     0R     0R -7777R    14R    72R   215R   169R    48R     2R -7777R     0R
USC00267908           0S     0S     0S -7777S     8S    92S   233S   161S    28R -7777R     0R     0R
USC00267953           0S     0S -7777S     2S    33S   141S   340R   309S   109S     9S -7777S     0S
USC00268186           0Q     0Q     0Q     1Q    13Q    86Q   236Q   202Q    58Q     2Q     0Q     0Q
USC00268202           0R     0R     0R -7777R    16R    97R   248R   222R    57R     3R     0R     0R
USC00268346           0R     0R     0R -7777R     1R    21R   129R   109R    19R     1R     0R     0R
USC00268443           0R     0R     0R -7777R    18R   103R   254R   185R    24R -7777R     0R     0R
USC00268588       -7777C     2S    28S   132S   391S   664C   871S   807C   553C   202S    16C -7777S
USC00268761           0S     0S -7777S -7777S    14S    75S   233S   196S    65S     6S -7777S     0S
USC00268822           0S     0C     0C -7777S    20S    99C   241S   184S    39C     1C     0S     0S
USC00268838           0R     0R     0R     1R    27R   117R   303R   230R    56R     2R     0R     0R
USC00268988           0R     0R     0R     0R     2R    24R   117R    80R     7R -7777R     0R     0R
USC00269072           0R     0R     0R     0S -7777S     2S    20S    11R -7777R     0R     0R     0S
USC00269168           0R     0R     0R -7777R    15R    86R   259R   195R    33R     1R     0R     0R
USC00269229           0S     0S     0R     2S    36S   144S   319S   272S    86R     5R     0R     0S
USC00270681           0S     0S     0S     1S     8S    45S    89S    65S    16S -7777S     0S     0S
USC00270690           0C     0C     0C -7777C     8C    50C    98C    72C    17C -7777C     0C     0C
USC00270706           0R     0R     0R     1R     8R    43R    89R    58R    16R     1R -7777R     0R
USC00271647           0S     0S     0S -7777S     4S    33S    68S    45S    11S -7777S     0S     0S
USC00271950           0R     0R -7777R     1R    19R    72R   136R   113R    31R     2R     0R     0R
USC00271968           0Q     0Q     0Q     0Q     3Q    17Q    28Q    17Q     6Q -7777Q     0Q     0Q
USC00272174           0S     0S -7777S     2S    16S    96S   192S   155C    48C     3C     0C     0C
USC00272302           0Q     0Q     0Q -7777Q    10Q    74Q   185Q   142Q    29Q -7777Q     0Q     0Q
USC00272800           0S     0S -7777S     2S    17S    87S   175S   132S    41S     2S     0S     0S
USC00272999           0S     0S     0S -7777S     2S    22S    47S    30S     6S -7777S     0S     0S
USC00273055           0Q     0Q     0Q     0Q     6Q    44Q   110Q    95Q    19Q -7777Q     0Q     0Q
USC00273182           0R     0R     0R -7777R    15R    73R   154R   127R    26R -7777R     0R     0R
USC00273530           0R     0R     0R -7777R     6R    44R    88R    64R    17R -7777R     0R     0R
USC00273626           0S     0S -7777S     2S    16S    86S   177S   147S    47S     3S -7777S     0S
USC00273658           0Q     0Q     0Q     0Q     1Q    59Q   181Q   173Q    28Q -7777Q     0Q     0Q
USC00273850           0S     0S -7777S     2S    16S    88S   175S   140S    37S     1S     0S     0S
USC00274234           0R     0R -7777R     2R    19R    93R   189R   154R    40R     3R -7777R     0R
USC00274399           0S     0S     0S     1S    15S    79S   160S   131S    37S     2S -7777S     0S
USC00274480           0S     0S     0S     1S    16S    98S   199S   166S    47S     3S     0S     0S
USC00274556           0C     0C     0C -7777C     6C    42S    88C    64C    14C -7777C -7777C     0C
USC00275013           0Q     0Q     0Q     1Q    17Q    75Q   147Q   126Q    28Q     2Q     0Q     0Q
USC00275211           0R     0R -7777R     2R    22R   111R   208R   167R    54R     3R -7777R     0R
USC00275412           0R     0R -7777R     2R    16R    90R   178R   131R    31R     2R -7777R     0R
USC00275500           0R     0R     0R -7777R     8R    56R   114R    92R    19R     1R     0R     0R
USC00275629           0C     0S     0S -7777S    15S    73S   136S   108S    27S     1S -7777C     0C
USC00275702           0R     0R -7777R     1R    20R    89R   187R   166R    55R     3R     0R     0R
USC00275712           0S     0S -7777S     1S    18S    93S   193S   158S    45C     3C     0S     0C
USC00275780           0Q     0Q     0Q     1Q    12Q    61Q   142Q   109Q    25Q     1Q     0Q     0Q
USC00275868           0R     0R     0R     1R     7R    48R    95R    72R    17R     1R     0R     0R
USC00275995           0C     0C     0C     1C    10C    63C   126C    91S    19S -7777C     0C     0C
USC00276234           0R     0R     0R -7777R     7R    43R    82R    58R    14R -7777R -7777R     0R
USC00276818           0S     0S     0S -7777S     3S    24S    51S    35S     9S     1S     0S     0S
USC00276945           0S     0S     0S     1S     5S    44S    99R    74R    16R -7777R     0R     0R
